0	1099
1	3160
2	2152
3	1190
4	2586
5	576
6	853
7	577
8	872
9	2195
10	2695
11	965
12	2573
13	1829
14	2874
15	2579
16	1173
17	510
18	47
19	1020
20	1568
21	1415
22	2092
23	2954
24	1433
25	571
26	1718
27	735
28	1651
29	952
30	2544
31	143
32	0
33	1772
34	1773
35	2476
36	252
37	958
38	959
39	1112
40	1839
41	514
42	2883
43	589
44	1149
45	1254
46	2838
47	1408
48	2004
49	622
50	2068
51	3218
52	1115
53	3323
54	2801
55	2806
56	1472
57	2036
58	2841
59	356
60	1162
61	2916
62	1414
63	1196
64	1094
65	3016
66	106
67	1649
68	3221
69	572
70	1756
71	915
72	1684
73	2637
74	1130
75	498
76	257
77	463
78	1331
79	1877
80	1266
81	2150
82	3091
83	573
84	1101
85	697
86	1103
87	575
88	2362
89	2193
90	1764
91	1765
92	1766
93	1042
94	1768
95	156
96	368
97	2296
98	337
99	440
100	1019
101	854
102	1400
103	3169
104	3202
105	2864
106	1813
107	1612
108	2720
109	307
110	344
111	1150
112	3172
113	1290
114	101
115	2517
116	1002
117	1477
118	1194
119	627
120	1977
121	977
122	535
123	1169
124	694
125	1102
126	1274
127	1275
128	3300
129	1207
130	2266
131	2937
132	3409
133	1817
134	2650
135	1925
136	1779
137	1054
138	1891
139	2728
140	1119
141	966
142	3440
143	2163
144	1283
145	1106
146	2724
147	1143
148	2760
149	2130
150	1082
151	2134
152	1407
153	1288
154	805
155	2552
156	1597
157	489
158	1153
159	492
160	40
161	2770
162	2483
163	285
164	689
165	2352
166	975
167	49
168	1098
169	365
170	2852
171	2224
172	2087
173	155
174	2788
175	2932
176	2089
177	1494
178	2505
179	1732
180	2371
181	830
182	169
183	1563
184	1506
185	1118
186	2388
187	2733
188	842
189	1443
190	1575
191	2669
192	1840
193	534
194	1388
195	2116
196	1392
197	1012
198	3021
199	847
200	1576
201	1336
202	1578
203	2187
204	1580
205	3028
206	2192
207	926
208	1696
209	336
210	2120
211	28
212	545
213	1018
214	1402
215	2687
216	31
217	1708
218	1078
219	33
220	678
221	2203
222	1024
223	3455
224	960
225	1545
226	352
227	3251
228	2842
229	2844
230	973
231	579
232	371
233	1435
234	3346
235	2584
236	3283
237	3285
238	3490
239	781
240	1758
241	2740
242	258
243	16
244	3437
245	1330
246	1011
247	846
248	192
249	848
250	3365
251	1276
252	552
253	1531
254	3310
255	800
256	2693
257	5
258	425
259	1808
260	1439
261	457
262	1569
263	3017
264	1126
